,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
226,Ratatouille,(2007),111 min,8.1,96        ,"784,466",$206.45M,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.
227,"Three Billboards Outside Ebbing, Missouri",(2017),115 min,8.1,88        ,"534,458",$54.51M,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.
228,Dead Poets Society,(1989),128 min,8.1,79        ,"519,825",$95.86M,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.
229,The Wizard of Oz,(1939),102 min,8.1,92        ,"415,607",$2.08M,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes."
230,Trainspotting,(1996),93 min,8.1,83        ,"708,062",$16.50M,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends."
231,Into the Wild,(2007),148 min,8.1,73        ,"641,652",$18.35M,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life."
232,Salinui chueok,(2003),131 min,8.1,82        ,"201,710",$0.01M,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit."
233,Inside Out,(I) (2015),95 min,8.1,94        ,"751,133",$356.46M,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust, and Sadness - conflict on how best to navigate a new city, house, and school."
234,Platoon,(1986),120 min,8.1,92        ,"427,719",$138.53M,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict."
235,Rocky,(1976),120 min,8.1,70        ,"607,881",$117.24M,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.
236,Logan,(2017),137 min,8.1,77        ,"801,449",$226.28M,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety."
237,Fa yeung nin wah,(2000),98 min,8.1,87        ,"159,612",$2.73M,"Two neighbors form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs."
238,"Lock, Stock and Two Smoking Barrels",(1998),107 min,8.1,66        ,"601,294",$3.90M,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds."
239,The Sound of Music,(1965),172 min,8.1,63        ,"248,510",$163.21M,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.
240,Before Sunrise,(1995),101 min,8.1,77        ,"326,353",$5.54M,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together."
241,"Monsters, Inc.",(2001),92 min,8.1,79        ,"946,641",$289.92M,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think."
242,Spotlight,(I) (2015),129 min,8.1,93        ,"488,192",$45.06M,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core."
243,Warrior,(2011),140 min,8.1,71        ,"486,595",$13.66M,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother."
244,Rush,(I) (2013),123 min,8.1,74        ,"497,927",$26.95M,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.
245,Room,(I) (2015),118 min,8.1,86        ,"437,273",$14.68M,"A little boy is held captive in a room with his mother since his birth, so he has never known the world outside."
246,How to Train Your Dragon,(2010),98 min,8.1,75        ,"773,319",$217.58M,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
247,Gran Torino,(2008),116 min,8.1,72        ,"796,952",$148.10M,"After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself."
248,La haine,(1995),98 min,8.1,****,"186,130",$0.31M,24 hours in the lives of three young men in the French suburbs the day after a violent riot.
249,12 Years a Slave,(2013),134 min,8.1,96        ,"723,417",$56.67M,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery."
250,Portrait de la jeune fille en feu,(2019),122 min,8.1,95        ,"101,848",$3.76M,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman."
251,Raging Bull,(1980),129 min,8.1,90        ,"368,077",$23.38M,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it."
252,"Paris, Texas",(1984),145 min,8.1,81        ,"112,767",$2.18M,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family."
253,Barry Lyndon,(1975),185 min,8.1,89        ,"176,482",#188,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.
254,OMG: Oh My God!,(2012),125 min,8.1,****,"62,465",$0.92M,A shopkeeper takes God to court when his shop is destroyed by an earthquake.
255,Cool Hand Luke,(1967),127 min,8.1,92        ,"184,230",$16.22M,"A laid-back Southern man is sentenced to two years in a rural prison, but refuses to conform."
256,Million Dollar Baby,(2004),132 min,8.1,86        ,"706,214",$100.49M,"Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close bond."
257,In the Name of the Father,(1993),133 min,8.1,84        ,"182,067",$25.01M,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.
258,Tonari no Totoro,(1988),86 min,8.1,86        ,"360,105",$1.11M,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby."
259,Hachi: A Dog's Tale,(2009),93 min,8.1,****,"299,806",#235,A college professor bonds with an abandoned dog he takes into his home.
260,Relatos salvajes,(2014),122 min,8.1,77        ,"208,690",$3.11M,Six short stories that explore the extremities of human behavior involving people in distress.
261,Stalker,(1979),162 min,8.1,85        ,"140,068",$0.23M,A guide leads two men through an area known as the Zone to find a room that grants wishes.
262,Before Sunset,(2004),80 min,8.1,91        ,"278,337",$5.82M,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour."
263,The Iron Giant,(1999),86 min,8.1,85        ,"214,926",$23.16M,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.
264,The Bridge on the River Kwai,(1957),161 min,8.1,87        ,"227,973",$44.91M,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it."
265,Amores perros,(2000),154 min,8.1,83        ,"247,745",$5.38M,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love."
266,Det sjunde inseglet,(1957),96 min,8.1,88        ,"192,580",#206,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague."
267,Mr. Smith Goes to Washington,(1939),129 min,8.1,73        ,"118,792",$9.60M,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character."
268,Koe no katachi,(2016),130 min,8.1,78        ,"93,138",%^%^%^,"A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption."
269,Ben-Hur,(1959),212 min,8.1,90        ,"247,474",$74.70M,"After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge."
270,Network,(1976),121 min,8.1,83        ,"165,313",#222,"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control."
271,Persona,(1966),85 min,8.1,86        ,"126,109",#247,A nurse is put in charge of a mute actress and finds that their personae are melding together.
272,The Third Man,(1949),104 min,8.1,97        ,"177,276",$0.45M,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."
273,Rebecca,(1940),130 min,8.1,86        ,"142,603",$4.36M,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.
274,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",(1997),87 min,8.1,****,"60,180",%^%^%^,Concurrent theatrical ending of the TV series Shinseiki Evangelion (1995).
275,On the Waterfront,(1954),108 min,8.1,91        ,"160,359",$9.60M,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims."
276,The Man Who Shot Liberty Valance,(1962),123 min,8.1,94        ,"79,873",%^%^%^,A senator returns to a Western town for the funeral of an old friend and tells the story of his origins.
277,Hotel Rwanda,(2004),121 min,8.1,79        ,"365,023",$23.53M,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa."
278,The Best Years of Our Lives,(1946),170 min,8.1,93        ,"68,159",$23.65M,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed."
279,Paper Moon,(1973),102 min,8.1,77        ,"50,580",$30.93M,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership."
280,Festen,(1998),105 min,8.1,82        ,"91,091",$1.65M,"At Helge's 60th birthday party, some unpleasant family truths are revealed."
281,All Quiet on the Western Front,(1930),152 min,8.1,91        ,"66,048",$3.27M,"A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror."
282,Mary and Max.,(2009),92 min,8.1,****,"182,739",#205,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York."
283,It Happened One Night,(1934),105 min,8.1,87        ,"108,701",$4.36M,"A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops."
284,The Grapes of Wrath,(1940),129 min,8.1,96        ,"97,333",$0.06M,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression."
285,Fanny och Alexander,(1982),188 min,8.1,100        ,"65,947",$4.97M,"Two young Swedish children in the 1900s experience the many comedies and tragedies of their lively and affectionate theatrical family, the Ekdahls."
286,Trois couleurs: Rouge,(1994),99 min,8.1,100        ,"107,374",$4.04M,A model discovers a retired judge is keen on invading people's privacy.
287,Ba wang bie ji,(1993),171 min,8.1,83        ,"31,477",$5.22M,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history.
288,Smultronstället,(1957),91 min,8.1,88        ,"111,595",#193,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence."
289,Les quatre cents coups,(1959),99 min,8.1,****,"123,937",#245,"A young boy, left without attention, delves into a life of petty crime."
290,PK,(2014),153 min,8.1,****,"195,214",$10.62M,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of there religious views on there people.
291,Bajrangi Bhaijaan,(2015),163 min,8.1,****,"93,398",$8.18M,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.
292,Underground,(1995),170 min,8.1,79        ,"60,042",$0.17M,"A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love, and hate."
293,Tôkyô monogatari,(1953),136 min,8.1,100        ,"65,416",#210,"An old couple visit their children and grandchildren in the city, but receive little attention."
294,A Woman Under the Influence,(1974),155 min,8.1,88        ,"27,345",$13.34M,"Although wife and mother Mabel is loved by her husband Nick, her mental illness places a strain on the marriage."
295,Yi yi,(2000),173 min,8.1,94        ,"26,939",$1.14M,Each member of a middle-class Taipei family seeks to reconcile past and present relationships within their daily lives.
296,Lagaan: Once Upon a Time in India,(2001),224 min,8.1,84        ,"117,979",$0.07M,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.
297,The Message,(1976),177 min,8.1,****,"49,549",%^%^%^,This epic historical drama chronicles the life and times of Prophet Muhammad and serves as an introduction to early Islamic history.
298,Andrei Rublev,(1966),205 min,8.1,****,"55,724",$0.10M,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev."
299,The Red Shoes,(1948),135 min,8.1,****,"37,462",$10.90M,A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.
300,Kis Uykusu,(2014),196 min,8.1,88        ,"53,800",$0.17M,A hotel owner and landlord in a remote Turkish village deals with conflicts within his family and a tenant behind on his rent.
301,Kakushi-toride no san-akunin,(1958),139 min,8.1,89        ,"40,959",%^%^%^,"Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines."
302,La passion de Jeanne d'Arc,(1928),110 min,8.1,98        ,"58,312",$0.02M,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions."
303,La battaglia di Algeri,(1966),121 min,8.1,96        ,"63,405",$0.06M,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government."
304,White Heat,(1949),114 min,8.1,89        ,"34,710",%^%^%^,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.
305,Inherit the Wind,(1960),128 min,8.1,75        ,"31,853",%^%^%^,"Based on a real-life case in 1925, two great lawyers argue the case for and against a Tennessee science teacher accused of the crime of teaching evolution."
306,Les diaboliques,(1955),117 min,8.1,****,"67,917",$1.09M,The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi.
307,The General,(1926),78 min,8.1,****,"95,263",$1.03M,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines."
308,Munna Bhai M.B.B.S.,(2003),156 min,8.1,****,"85,574",%^%^%^,A gangster sets out to fulfill his father's dream of becoming a doctor.
309,Ôkami kodomo no Ame to Yuki,(2012),117 min,8.1,71        ,"47,615",%^%^%^,"After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society."
310,Kumonosu-jô,(1957),110 min,8.1,****,"54,385",%^%^%^,"A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle."
311,Jungfrukällan,(1960),89 min,8.1,****,"30,741",$1.53M,"In 14th-century Sweden, an innocent yet pampered teenage girl and her family's pregnant and jealous servant set out from their farm to deliver candles to church, but only one returns from events that transpire in the woods along the way."
312,Dil Chahta Hai,(2001),183 min,8.1,****,"74,383",$0.30M,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension."
313,Höstsonaten,(1978),99 min,8.1,****,"36,453",%^%^%^,"A devoted wife is visited by her mother, a successful concert pianist who had little time for her when she was young."
314,Le notti di Cabiria,(1957),110 min,8.1,****,"50,854",$0.75M,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.
315,Sunrise: A Song of Two Humans,(1927),94 min,8.1,95        ,"52,770",$0.54M,"A sophisticated city woman seduces a farmer and convinces him to murder his wife and join her in the city, but he ends up rekindling his romance with his wife when he changes his mind at the last moment."
316,Barfi!,(2012),151 min,8.1,****,"84,709",$2.80M,Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.
317,Da hong denglong gaogao gua,(1991),125 min,8.1,****,"34,318",$2.60M,"A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household."
318,A Wednesday,(2008),104 min,8.1,****,"80,755",%^%^%^,A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday.
319,The Gold Rush,(1925),95 min,8.1,****,"115,402",$5.45M,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall."
320,Masaan,(2015),109 min,8.1,****,"29,770",%^%^%^,"Along India's Ganges River, four people face prejudice, a strict moral code and a punishing caste system as they confront personal tragedies."
321,Ace in the Hole,(1951),111 min,8.1,72        ,"38,008",$3.97M,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus."
322,Rang De Basanti,(2006),167 min,8.1,****,"121,070",$2.20M,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom."
323,Talvar,(2015),132 min,8.1,****,"36,921",$0.34M,An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.
324,Dom za vesanje,(1988),142 min,8.1,****,"31,970",$0.28M,"In this luminous tale set in the area around Sarajevo and in Italy, Perhan, an engaging young Romany (gypsy) with telekinetic powers, is seduced by the quick-cash world of petty crime, which threatens to destroy him and those he loves."
325,Chak De! India,(2007),153 min,8.1,68        ,"82,884",$1.11M,"Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds."
326,Queen,(2013),146 min,8.1,****,"67,421",$1.43M,A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.
327,Pink,(III) (2016),136 min,8.1,****,"46,896",$1.24M,"When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names."
328,La Grande Illusion,(1937),113 min,8.1,****,"38,000",$0.17M,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress."
329,Article 15,(2019),130 min,8.1,****,"35,615",%^%^%^,"In the rural heartlands of India, an upright police officer sets out on a crusade against violent caste-based crimes and discrimination."
330,Jean de Florette,(1986),120 min,8.1,****,"26,894",$4.94M,A greedy landowner and his backward nephew conspire to block the only water source for an adjoining property in order to bankrupt the owner and force him to sell.
331,Du rififi chez les hommes,(1955),118 min,8.1,97        ,"35,956",$0.06M,"Four men plan a technically perfect crime, but the human element intervenes..."
332,Sholay,(1975),204 min,8.1,****,"57,595",%^%^%^,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit."
333,Mandariinid,(2013),87 min,8.1,73        ,"47,880",$0.14M,"In 1992, war rages in Abkhazia, a breakaway region of Georgia. An Estonian man Ivo has decided to stay behind and harvest his crops of tangerines. In a bloody conflict at his door, a wounded man is left behind, and Ivo takes him in."
334,Hera Pheri,(2000),156 min,8.1,****,"70,367",%^%^%^,"Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?"
335,Eskiya,(1996),128 min,8.1,****,"71,215",%^%^%^,"Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover."
336,The Circus,(1928),72 min,8.1,90        ,"35,202",%^%^%^,The Tramp finds work and the girl of his dreams at a circus.
337,Sarfarosh,(1999),174 min,8.1,****,"26,408",%^%^%^,"After his brother is killed and father severely injured by terrorists, a young med student quits his studies to join the Indian Police Service to wipe out the terrorists."
338,Kahaani,(2012),122 min,8.1,****,"64,456",$1.04M,"A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him."
339,Udaan,(2010),134 min,8.1,****,"46,219",$0.01M,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father."
340,Black,(2005),122 min,8.1,****,"35,606",$0.73M,"The cathartic tale of a young woman who can't see, hear, or speak, and the teacher who brings a ray of light into her dark world."
341,Her Sey Çok Güzel Olacak,(1998),107 min,8.1,****,"26,671",%^%^%^,"When Altan swipes prescription drugs from his brother Nuri's pharmacy, they soon find themselves on a dangerous but funny road trip to get rid of the stuff and escape the mafiosi Altan ...                See full summary »"
342,Anand,(1971),122 min,8.1,****,"34,689",%^%^%^,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend."
343,Guardians of the Galaxy Vol. 3,(2023),150 min,8.0,64        ,"301,809",%^%^%^,"Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful."
344,Mission: Impossible - Dead Reckoning Part One,(2023),163 min,8.0,81        ,"133,408",%^%^%^,Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.
345,Dune: Part One,(2021),155 min,8.0,74        ,"711,112",$108.33M,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.
346,Blade Runner 2049,(2017),164 min,8.0,81        ,"620,844",$92.05M,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years."
347,Guardians of the Galaxy,(2014),121 min,8.0,76        ,"1,240,882",$333.18M,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.
348,Black Swan,(2010),108 min,8.0,79        ,"798,089",$106.95M,"Nina is a talented but unstable ballerina on the verge of stardom. Pushed to the breaking point by her artistic director and a seductive rival, Nina's grip on reality slips, plunging her into a waking nightmare."
349,La La Land,(2016),128 min,8.0,94        ,"631,230",$151.10M,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
350,The Princess Bride,(1987),98 min,8.0,77        ,"439,881",$30.86M,"A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love."
351,Deadpool,(2016),108 min,8.0,65        ,"1,085,261",$363.07M,"A wisecracking mercenary gets experimented on and becomes immortal yet hideously scarred, and sets out to track down the man who ruined his looks."
352,The Revenant,(I) (2015),156 min,8.0,76        ,"841,523",$183.64M,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.
353,Donnie Darko,(2001),113 min,8.0,88        ,"828,262",$1.48M,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes."
354,The Imitation Game,(2014),114 min,8.0,71        ,"800,679",$91.13M,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians while attempting to come to terms with his troubled private life."
355,Sin City,(2005),124 min,8.0,74        ,"783,293",$74.10M,"An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption."
356,The Martian,(2015),144 min,8.0,80        ,"892,192",$228.43M,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue."
357,The Incredibles,(2004),115 min,8.0,90        ,"776,382",$261.44M,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world."
358,The Avengers,(2012),143 min,8.0,69        ,"1,430,700",$623.28M,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.
359,CODA,(2021),111 min,8.0,72        ,"151,756",%^%^%^,"As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her passion at Berklee College of Music and her fear of abandoning her parents."
360,Her,(2013),126 min,8.0,91        ,"645,565",$25.57M,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need."
361,Casino Royale,(2006),144 min,8.0,80        ,"677,815",$167.45M,"After earning 00 status and a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro."
362,Zootopia,(2016),108 min,8.0,78        ,"525,267",$341.27M,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy."
363,Aladdin,(1992),90 min,8.0,86        ,"446,518",$217.35M,A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
364,Groundhog Day,(1993),101 min,8.0,72        ,"660,385",$70.91M,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day, and the day keeps repeating until he gets it right."
365,Scent of a Woman,(1992),156 min,8.0,59        ,"316,136",$63.90M,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated."
366,Beauty and the Beast,(1991),84 min,8.0,95        ,"469,166",$218.97M,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.
367,Young Frankenstein,(1974),106 min,8.0,83        ,"164,483",$86.30M,"An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body."
368,JFK,(1991),189 min,8.0,72        ,"164,671",$70.41M,New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.
369,Soul,(2020),100 min,8.0,83        ,"355,203",%^%^%^,"After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife."
370,Twelve Monkeys,(1995),129 min,8.0,74        ,"634,144",$57.14M,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet."
371,Kill Bill: Vol. 2,(2004),137 min,8.0,83        ,"782,956",$66.21M,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle."
372,Dances with Wolves,(1990),181 min,8.0,72        ,"280,816",$184.21M,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, finds himself engaging with a neighbouring Sioux settlement, causing him to question his own purpose."
373,Rain Man,(1988),133 min,8.0,65        ,"532,724",$178.80M,"After a selfish L.A. yuppie learns his estranged father left a fortune to an autistic-savant brother in Ohio that he didn't know existed, he absconds with his brother and sets out across the country, hoping to gain a larger inheritance."
374,Rosemary's Baby,(1968),137 min,8.0,96        ,"226,436",%^%^%^,"A young couple trying for a baby moves into an aging, ornate apartment building on Central Park West, where they find themselves surrounded by peculiar neighbors."
375,Magnolia,(1999),188 min,8.0,78        ,"322,045",$22.46M,"An epic mosaic of interrelated characters in search of love, forgiveness and meaning in the San Fernando Valley."
376,Planet of the Apes,(1968),112 min,8.0,79        ,"187,290",$33.40M,An astronaut crew crash-lands on a planet where highly intelligent non-human ape species are dominant and humans are enslaved.
377,Blood Diamond,(2006),143 min,8.0,64        ,"570,345",$57.37M,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond."
378,Big Fish,(2003),125 min,8.0,58        ,"451,059",$66.26M,A frustrated son tries to determine the fact from fiction in his dying father's life.
379,Pâfekuto burû,(1997),81 min,8.0,67        ,"87,045",$0.78M,"A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past."
380,Dog Day Afternoon,(1975),125 min,8.0,86        ,"267,137",$50.00M,"Three amateur bank robbers plan to hold up a bank. A nice simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does."
381,The Graduate,(1967),106 min,8.0,83        ,"282,847",$104.95M,A disillusioned college graduate finds himself torn between his older lover and her daughter.
382,Akira,(1988),124 min,8.0,67        ,"196,971",$0.55M,"A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager, his gang of biker friends and a group of psychics."
383,The Pursuit of Happyness,(2006),117 min,8.0,64        ,"540,435",$163.57M,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.
384,Lion,(2016),118 min,8.0,69        ,"244,784",$51.74M,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family."
