,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
138,Drishyam,(2013),160 min,8.3,****,"42,977",%^%^%^,A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.
139,The Wolf of Wall Street,(2013),180 min,8.2,75        ,"1,501,138",$116.90M,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
140,Jurassic Park,(1993),127 min,8.2,68        ,"1,031,138",$402.45M,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.
141,Spider-Man: No Way Home,(2021),148 min,8.2,71        ,"826,846",$804.75M,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man."
142,No Country for Old Men,(2007),122 min,8.2,92        ,"1,019,468",$74.28M,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.
143,Batman Begins,(2005),140 min,8.2,70        ,"1,530,031",$206.85M,"After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city."
144,Taxi Driver,(1976),114 min,8.2,94        ,"881,817",$28.26M,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action."
145,Shutter Island,(2010),138 min,8.2,63        ,"1,390,354",$128.01M,"Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about the place."
146,There Will Be Blood,(2007),158 min,8.2,93        ,"616,457",$40.22M,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."
147,The Truman Show,(1998),103 min,8.2,90        ,"1,141,593",$125.62M,An insurance salesman discovers his whole life is actually a reality TV show.
148,Casino,(1995),178 min,8.2,73        ,"543,691",$42.44M,"In Las Vegas, two best friends - a casino executive and a mafia enforcer - compete for a gambling empire and a fast-living, fast-loving socialite."
149,Kill Bill: Vol. 1,(2003),111 min,8.2,69        ,"1,155,877",$70.10M,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her."
150,Snatch,(2000),104 min,8.2,55        ,"884,353",$30.33M,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
151,The Thing,(1982),109 min,8.2,57        ,"445,864",$13.78M,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.
152,1917,(2019),119 min,8.2,78        ,"638,933",$159.23M,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
153,Indiana Jones and the Last Crusade,(1989),127 min,8.2,65        ,"789,641",$197.17M,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers."
154,Hauru no ugoku shiro,(2004),119 min,8.2,82        ,"422,127",$4.71M,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle."
155,Unforgiven,(1992),130 min,8.2,85        ,"425,471",$101.16M,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid."""
156,Green Book,(2018),130 min,8.2,69        ,"532,557",$85.08M,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.
157,The Sixth Sense,(1999),107 min,8.2,64        ,"1,022,189",$293.51M,"Malcolm Crowe, a child psychologist, starts treating a young boy, Cole, who encounters dead people and convinces him to help them. In turn, Cole helps Malcolm reconcile with his estranged wife."
158,V for Vendetta,(2005),132 min,8.2,62        ,"1,151,955",$70.51M,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman."
159,Finding Nemo,(2003),100 min,8.2,90        ,"1,080,899",$380.84M,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
160,A Beautiful Mind,(2001),135 min,8.2,72        ,"960,893",$170.74M,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish."
161,Die Hard,(1988),132 min,8.2,72        ,"910,765",$83.01M,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.
162,L.A. Confidential,(1997),138 min,8.2,91        ,"599,926",$64.62M,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."
163,Chinatown,(1974),130 min,8.2,92        ,"338,994",#157,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder."
164,Pan's Labyrinth,(2006),118 min,8.2,98        ,"687,417",$37.63M,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world."
165,The Elephant Man,(1980),124 min,8.2,78        ,"251,196",#156,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication."
166,The Father,(I) (2020),97 min,8.2,88        ,"175,941",#133,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality."
167,Gone with the Wind,(1939),238 min,8.2,97        ,"325,940",$198.68M,A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.
